latitude,longitude,elevation_m,elevation_ft
44.744280431,-93.377825569,278.773,914.609
44.744280431,-93.377766990,278.851,914.866
44.744280431,-93.377708410,278.928,915.118
44.744280431,-93.377649831,278.998,915.348
44.744280431,-93.377591251,279.042,915.493
44.744280431,-93.377532672,279.081,915.619
44.744280431,-93.377474092,279.120,915.749
44.744280431,-93.377415513,279.175,915.927
44.744280431,-93.377356933,279.232,916.115
44.744280431,-93.377298354,279.221,916.081
44.744280431,-93.377239774,279.211,916.046
44.744280431,-93.377181195,279.200,916.011
44.744280431,-93.377122615,279.190,915.977
44.744280431,-93.377064036,279.180,915.944
44.744280431,-93.377005456,279.170,915.913
44.744280431,-93.376946877,279.161,915.884
44.744280431,-93.376888297,279.153,915.856
44.744280431,-93.376829718,279.146,915.833
44.744280431,-93.376771138,279.139,915.810
44.744280431,-93.376712559,279.132,915.787
44.744280431,-93.376653979,279.124,915.761
44.744280431,-93.376595400,279.117,915.737
44.744280431,-93.376536820,279.110,915.715
44.744280431,-93.376478240,279.102,915.689
44.744280431,-93.376419661,279.094,915.662
44.744321491,-93.378411365,279.797,917.969
44.744321491,-93.378352785,279.664,917.533
44.744321491,-93.378294206,279.537,917.116
44.744321491,-93.378235626,279.414,916.714
44.744321491,-93.378177047,279.298,916.332
44.744321491,-93.378118467,279.196,915.996
44.744321491,-93.378059888,279.092,915.655
44.744321491,-93.378001308,278.990,915.322
44.744321491,-93.377942728,278.908,915.053
44.744321491,-93.377884149,278.849,914.860
44.744321491,-93.377825569,278.809,914.727
44.744321491,-93.377766990,278.881,914.964
44.744321491,-93.377708410,278.953,915.201
44.744321491,-93.377649831,279.021,915.424
44.744321491,-93.377591251,279.054,915.533
44.744321491,-93.377532672,279.081,915.620
44.744321491,-93.377474092,279.113,915.726
44.744321491,-93.377415513,279.166,915.899
44.744321491,-93.377356933,279.224,916.090
44.744321491,-93.377298354,279.217,916.066
44.744321491,-93.377239774,279.209,916.042
44.744321491,-93.377181195,279.202,916.016
44.744321491,-93.377122615,279.194,915.991
44.744321491,-93.377064036,279.186,915.965
44.744321491,-93.377005456,279.178,915.940
44.744321491,-93.376946877,279.171,915.914
44.744321491,-93.376888297,279.163,915.889
44.744321491,-93.376829718,279.155,915.864
44.744321491,-93.376771138,279.148,915.839
44.744321491,-93.376712559,279.140,915.814
44.744321491,-93.376653979,279.132,915.788
44.744321491,-93.376595400,279.124,915.762
44.744321491,-93.376536820,279.116,915.736
44.744321491,-93.376478240,279.108,915.709
44.744321491,-93.376419661,279.100,915.683
44.744362550,-93.378411365,279.786,917.934
44.744362550,-93.378352785,279.657,917.511
44.744362550,-93.378294206,279.533,917.101
44.744362550,-93.378235626,279.408,916.694
44.744362550,-93.378177047,279.291,916.308
44.744362550,-93.378118467,279.189,915.974
44.744362550,-93.378059888,279.089,915.648
44.744362550,-93.378001308,278.994,915.334
44.744362550,-93.377942728,278.918,915.085
44.744362550,-93.377884149,278.865,914.912
44.744362550,-93.377825569,278.832,914.802
44.744362550,-93.377766990,278.895,915.009
44.744362550,-93.377708410,278.959,915.220
44.744362550,-93.377649831,279.022,915.426
44.744362550,-93.377591251,279.052,915.526
44.744362550,-93.377532672,279.078,915.611
44.744362550,-93.377474092,279.114,915.728
44.744362550,-93.377415513,279.172,915.918
44.744362550,-93.377356933,279.237,916.131
44.744362550,-93.377298354,279.231,916.111
44.744362550,-93.377239774,279.224,916.088
44.744362550,-93.377181195,279.216,916.063
44.744362550,-93.377122615,279.208,916.038
44.744362550,-93.377064036,279.200,916.012
44.744362550,-93.377005456,279.193,915.986
44.744362550,-93.376946877,279.185,915.961
44.744362550,-93.376888297,279.177,915.936
44.744362550,-93.376829718,279.170,915.912
44.744362550,-93.376771138,279.163,915.888
44.744362550,-93.376712559,279.155,915.863
44.744362550,-93.376653979,279.147,915.835
44.744362550,-93.376595400,279.138,915.808
44.744362550,-93.376536820,279.130,915.780
44.744362550,-93.376478240,279.121,915.752
44.744362550,-93.376419661,279.112,915.723
44.744403610,-93.378411365,279.774,917.894
44.744403610,-93.378352785,279.649,917.485
44.744403610,-93.378294206,279.525,917.075
44.744403610,-93.378235626,279.400,916.666
44.744403610,-93.378177047,279.282,916.278
44.744403610,-93.378118467,279.180,915.945
44.744403610,-93.378059888,279.084,915.629
44.744403610,-93.378001308,278.993,915.330
44.744403610,-93.377942728,278.921,915.095
44.744403610,-93.377884149,278.874,914.940
44.744403610,-93.377825569,278.846,914.848
